Location ID,Practice Name,extracted_postcode,display_address,lat,lon,geocode_precision,admin_district,City / Town,Region,ASM Name,Area,Nation
,Fusion Dentistry,CF14 3QX,"Abton House, Wedal Road, Cardiff, CF14 3QX",51.503529,-3.182196,exact,Cardiff,,,,,Wales
,Gareth RH Davies,SA3 5NG,"126a West Cross Lane West Cross, Swansea, SA3 5NG",51.584472,-4.015917,exact,Swansea,,,,,Wales
,The Gateway Dental Practice,NP7 5ER,"44 Cross Street, Abergavenny, NP7 5ER",51.820752,-3.016519,exact,Monmouthshire,,,,,Wales
,Gateway OHS Ltd â€“ Usk,NP7 5ER,"44 Cross Street, Abergavenny, NP7 5ER",51.820752,-3.016519,exact,Monmouthshire,,,,,Wales
,Gentle Dental Practice,CF44 7LA,"7 Victoria Square, Aberdare, CF44 7LA",51.712954,-3.444779,exact,Rhondda Cynon Taf,,,,,Wales
,Glenhaven Dental Care,CF15 7PP,"129 Cardiff Road, Taffs Well, CF15 7PP",51.545294,-3.270124,exact,Rhondda Cynon Taf,,,,,Wales
,Goodwin Partnership DBS Ltd,NP44 4TA,"The Dental Surgery Fairwater Square, Cwmbran, NP44 4TA",51.644667,-3.047581,exact,Torfaen,,,,,Wales
,Gorseinon Dental,SA4 4BT,"40 High Street Gorseinon, Swansea, SA4 4BT",51.668826,-4.037608,exact,Swansea,,,,,Wales
,Gowerton Dental Practice,SA4 3BD,"1 Talbot Street Gowerton, Swansea, SA4 3BD",51.639013,-4.031487,exact,Swansea,,,,,Wales
,Greenacre Orthodontics,CH5 4HB,"14 Wepre Drive, Connah's Quay, Deeside, CH5 4HB",53.204487115021514,-3.0412758532188824,outcode_fallback,,,,,,Wales
,Greenfield Dental Care,CF64 4BX,"60 Greenfield Avenue, Dinas Powys, CF64 4BX",51.434918,-3.215758,exact,Vale of Glamorgan,,,,,Wales
,Grosvenor Dental Surgery,LL29 7YF,"3 Grosvenor Road, Colwyn Bay, LL29 7YF",53.298584,-3.739105,exact,Conwy,,,,,Wales
,Cox and Hitchcock Dental Practice,CF23 6PX,"9 Rhyd-y-Penau Road, Cyncoed, Cardiff, CF23 6PX",51.521218,-3.17748,exact,Cardiff,,,,,Wales
,Craig-y-Don Dental Practice,LL30 1YY,"Shirley, 28 Mostyn Avenue, Llandudno, LL30 1YY",53.320568,-3.809558,exact,Conwy,,,,,Wales
,Crickhowell Dental Practice,NP8 1AG,"Beaufort Street, Crickhowell, NP8 1AG",51.857326,-3.133916,exact,Powys,,,,,Wales
,Croft Dental Practice,CF44 8DL,"Depot Road, Aberdare, CF44 8DL",51.715557,-3.44877,exact,Rhondda Cynon Taf,,,,,Wales
,Cross Keys Dental Practice Limited,NP11 7BT,"15-19 Risca Road, Cross Keys, NP11 7BT",51.620057,-3.125335,exact,Caerphilly,,,,,Wales
,Crossroads Dental Surgery,CF23 6PX,"9 Rhydypenau Road, Cyncoed, CF23 6PX",51.521218,-3.17748,exact,Cardiff,,,,,Wales
,Crown Cottage Dental Practice,CF83 8DY,"Crown Cottage, The Square, CF83 8DY",51.589704,-3.199331,exact,Caerphilly,,,,,Wales
,Crown Hill Dental Surgery,CF38 2NR,"62 Tudor Way, Pontypridd, CF38 2NR",51.554094,-3.333707,exact,Rhondda Cynon Taf,,,,,Wales
,Deintyddfa Cybi Dental Practice,LL65 1RR,"28 Thomas Street, Anglesey, LL65 1RR",53.310059,-4.634486,exact,Isle of Anglesey,,,,,Wales
,Deintyddfa Emlyn,SA38 9NS,"Adpar, Newcastle Emlyn, SA38 9NS",52.041451,-4.468788,exact,Ceredigion,,,,,Wales
,Capel Dental Practice,SA31 1QX,"22 Mansel Street, Carmarthen, SA31 1QX",51.857324,-4.309745,exact,Carmarthenshire,,,,,Wales
,Denise Adams Dental Surgery,CF44 9SW,"56 High Street, Aberdare, CF44 9SW",51.738939,-3.510637,exact,Rhondda Cynon Taf,,,,,Wales
,Dental Clinic,LL16 3AP,"Denbigh Infirmary Ruthin Road, Denbighshire, LL16 3AP",53.185028,-3.416296,exact,Denbighshire,,,,,Wales
,Dental Department,CF48 1BZ,"Keir Hardie Health Park, Merthyr Tydfil, CF48 1BZ",51.746377,-3.389584,exact,Merthyr Tydfil,,,,,Wales
,Dental Excellence,SA71 4AH,"2 Station Road, Pembroke, SA71 4AH",51.673867,-4.906637,exact,Pembrokeshire,,,,,Wales
,Cymmer Dental Surgery,SA13 3HR,"Health Centre Cymmer, Port Talbot, SA13 3HR",51.652364,-3.647025,exact,Neath Port Talbot,,,,,Wales
,Llandudno Dental Limited,LL30 2TW,"49 Madoc Street, Llandudno, LL30 2TW",53.322353,-3.829843,exact,Conwy,,,,,Wales
,Dental Surgery Sinervo,LL57 3AE,"3 High StreetÂ , Bethesda, LL57 3AE",53.180705,-4.064123,exact,Gwynedd,,,,,Wales
,Bridge Street Dental,SA61 2AL,"21-23 Bridge Street, Haverfordwest, SA61 2AL",51.802912,-4.968856,exact,Pembrokeshire,,,,,Wales
,Dental Teaching Unit,CF39 9PH,"Leith House, Porth, CF39 9PH",51.610887,-3.406859,exact,Rhondda Cynon Taf,,,,,Wales
,MyDentist â€“ Tonypandy,CF40 1AL,"49 Dunraven Street, Tonypandy, CF40 1AL",51.621699,-3.453883,exact,Rhondda Cynon Taf,,,,,Wales
,Deri Dental Practice,SY21 0RZ,"Old Bank House Bridge Street, Llanfair Caereinion, SY21 0RZ",52.648867,-3.324922,exact,Powys,,,,,Wales
,Devon Place 7 Day Dental,NP20 4NU,"52 Devon Place, Newport, NP20 4NU",51.589747,-3.000022,exact,Newport,,,,,Wales
,Dew Street Dental Practice,SA61 1ST,"31 Dew Street, Haverfordwest, SA61 1ST",51.799513,-4.973072,exact,Pembrokeshire,,,,,Wales
,Grosvenor Place Dental Practice,CH7 1EJ,"4 Grosvenor Street, Flintshire, CH7 1EJ",53.166697,-3.139141,exact,Flintshire,,,,,Wales
,Gupta and Gupta Limited,NP20 1JT,"Charles Street Dental Surgery, Newport, NP20 1JT",51.585545,-2.996119,exact,Newport,,,,,Wales
,Gupta Dental Surgeons,SA13 1PG,"41 Forge Road, Port Talbot, SA13 1PG",51.596456,-3.779134,exact,Neath Port Talbot,,,,,Wales
,Perlau Gwyn Dental Care,CF11 9LP,"100 Cathedral Road, Cardiff, CF11 9LP",51.48655,-3.195641,exact,Cardiff,,,,,Wales
,Gwaun Cae Gurwen Dental Practice,SA18 1PB,"97 Heol Cae Gurwen, Ammanford, SA18 1PB",51.789301,-3.8805,exact,Neath Port Talbot,,,,,Wales
,Gwena Dental Care,CF14 4HE,"1st Floor Lancester House, 106 Maes y Coed Road, Cardiff, CF14 4HE",51.519518,-3.194458,exact,Cardiff,,,,,Wales
,Gwersyllt Dental Care,LL11 4LA,"2 High Street, Gwersyllt, Wrexham, LL11 4LA",53.073373,-3.016594,exact,Wrexham,,,,,Wales
,Gwynfryn Dental Practice,LL57 2EE,"Holyhead Road, Bangor, LL57 2EE",53.225135,-4.135099,exact,Gwynedd,,,,,Wales
,Agincourt Dental,NP25 3EF,"29 Monnow Street, Monmouth, NP25 3EF",51.811533,-2.716811,exact,Monmouthshire,,,,,Wales
,Newbridge Dental Care,NP11 4FW,"Sarratt House, High Street, Newbridge, NP11 4FW",51.663859,-3.148976,exact,Caerphilly,,,,,Wales
,Hawarden Dental Practice,CH5 3DJ,"90 The Highway, Flintshire, CH5 3DJ",53.186617,-3.035852,exact,Flintshire,,,,,Wales
,Hawthorn Dental,CF37 5AL,"School Lane, Hawthorn, Pontypridd, CF37 5AL",51.579474,-3.306813,exact,Rhondda Cynon Taf,,,,,Wales
,Hayden Dental,SA31 1JW,"Castle Hill, Carmarthen, SA31 1JW",51.855635,-4.304125,exact,Carmarthenshire,,,,,Wales
,Hay-on-Wye Dental Centre,HR3 5AL,"Oxford Road, Hay-on-Wye, HR3 5AL",52.060754,-2.710029,exact,"Herefordshire, County of",,,,,Wales
,Cwmbran Dental Care,NP44 1PP,"19a Caradoc Road, Cwmbran, NP44 1PP",51.65497,-3.021191,exact,Torfaen,,,,,Wales
,Cwmbran Dental Spa,NP44 2AZ,"2 Ashford Close The Highway, Croesyceiliog, Cwmbran, NP44 2AZ",51.65884,-3.002079,exact,Torfaen,,,,,Wales
,Cwmbwrla Dental Practice,SA5 8NN,"4 Mansel Terrace, Swansea, SA5 8NN",51.635583,-3.952227,exact,Swansea,,,,,Wales
,Cwmdulais Dental Practice,SA10 8NW,"8 Station Road Crynant, Neath, SA10 8NW",51.729549,-3.746995,exact,Neath Port Talbot,,,,,Wales
,Cwmtawe Dental Practice,SA6 5LG,"36 High Street Clydach, Swansea, SA6 5LG",51.695269,-3.896046,exact,Swansea,,,,,Wales
,Cyfarthfa Dental Care,CF47 8DP,"Rookwood House, Merthyr Tydfil, CF47 8DP",51.74375,-3.378278,exact,Merthyr Tydfil,,,,,Wales
,Daly & Associates Dental Surgery,CF62 8BA,"77 Tynewydd Road, Barry, CF62 8BA",51.409212,-3.270519,exact,Vale of Glamorgan,,,,,Wales
,Dannadd Davies Dental Practice,LL55 1AR,"33 Bangor Street, Gwynedd, LL55 1AR",53.142664,-4.273954,exact,Gwynedd,,,,,Wales
,Dant y Coed Dental Surgery,LL11 3NG,"1 - 2 Maelor Buildings Heol Maelor, Wrexham, LL11 3NG",53.051819,-3.065572,exact,Wrexham,,,,,Wales
,Andrew Thomas Dental Centre,CF24 3AB,"First Floor Suite, Parade House, 50 The Parade, Cardiff, CF24 3AB",51.484851,-3.167959,exact,Cardiff,,,,,Wales
,Deeside Dental Surgery,CH5 4DD,"55 High Street, Flintshire, CH5 4DD",53.215458,-3.047704,exact,Flintshire,,,,,Wales
,Deganwy Dental Practice,LL31 9EJ,"Station Road, Conwy, LL31 9EJ",53.294982,-3.833129,exact,Conwy,,,,,Wales
,Evans Dental Surgery,LD3 8AH,"1st Floor, Tannery Building Bridge Street, Brecon, LD3 8AH",51.947251,-3.39558,exact,Powys,,,,,Wales
,Chepstow Dental Care,NP16 5LR,"Welsh Street, Gwent, NP16 5LR",51.642526,-2.679706,exact,Monmouthshire,,,,,Wales
,MyDentist â€“ Fairwater,CF5 3RE,"50 Pentrebane Road, Fairwater, Cardiff, CF5 3RE",51.497001,-3.251436,exact,Cardiff,,,,,Wales
,Fairwater Green Dental Practice,CF5 3BA,"6 Fairwater Green, Cardiff, CF5 3BA",51.48951,-3.241378,exact,Cardiff,,,,,Wales
,Family Dental Care,CF5 5BS,"26A Cowbridge Road West, Ely, CF5 5BS",51.482885,-3.234358,exact,Cardiff,,,,,Wales
,Family Dental Centre,SA72 6JE,"40 Queen Street, Pembroke Dock, SA72 6JE",51.694002,-4.943557,exact,Pembrokeshire,,,,,Wales
,"MyDentist â€“ Family Dental Practice, Milford Haven",SA73 2DH,"Robert Street, Milford Haven, SA73 2DH",51.714008,-5.037711,exact,Pembrokeshire,,,,,Wales
,MyDentist â€“ Feidr Fair Dental Practice,SA43 1DU,"7 Feidrfair, Cardigan, SA43 1DU",52.083735,-4.658065,exact,Ceredigion,,,,,Wales
,Ferndale Dental Surgery,CF43 4RH,"27 High Street, Ferndale, CF43 4RH",51.662258,-3.44905,exact,Rhondda Cynon Taf,,,,,Wales
,Whitland Dental Co.,SA34 0AA,"6 King Edward Street, Whitland, SA34 0AA",51.818993,-4.61517,exact,Carmarthenshire,,,,,Wales
,Eastside Dental Centre,SA1 8QY,"Beacon Centre for Health Langdon Road, Swansea, SA1 8QY",51.620582,-3.924568,exact,Swansea,,,,,Wales
,Eastgate Dental Surgery,SY23 2AR,"29 Eastgate Street, Aberystwyth, SY23 2AR",52.415229,-4.08543,exact,Ceredigion,,,,,Wales
,Edwards Dental Health Centre,NP44 1EE,"12 New Street, Cwmbran, NP44 1EE",51.661545,-3.025141,exact,Torfaen,,,,,Wales
,Eirlys Dental Practice,LL40 1AU,"Bridge Street, Dolgellau, LL40 1AU",52.743858,-3.885393,exact,Gwynedd,,,,,Wales
,Elegant Dental Care (formally Bush Street Dental Practice),SA72 6DE,"63 Bush Street, Pembroke Dock, Pembrokeshire, SA72 6DE",51.691831,-4.940812,exact,Pembrokeshire,,,,,Wales
,Ellen Davies Dental Practice,CF61 1XY,"4a Barons Close House, Llantwit Major, CF61 1XY",51.408437,-3.484104,exact,Vale of Glamorgan,,,,,Wales
,Elmhurst Orthodontic Clinic,LL57 2RT,"Garth Road, Gwynedd, LL57 2RT",53.232071,-4.124836,exact,Gwynedd,,,,,Wales
,Bryant Dental Practice Ltd,CF42 6AA,"17-19 High Street, Treorchy, CF42 6AA",51.65978,-3.50527,exact,Rhondda Cynon Taf,,,,,Wales
,Bryn Siriol Dental Practice,CH7 1RA,"Gwernaffield Road, Flintshire, CH7 1RA",53.170372,-3.146778,exact,Flintshire,,,,,Wales
,Brynhyfryd Dental Practice,SA1 2DD,"Unit 1, Cwmbwrla Workshops, Ysguborfach Street, Swansea, SA1 2DD",51.633786,-3.947266,exact,Swansea,,,,,Wales
,Ammanford Surgery,SA18 3AU,"Brynteg Terrace, Ammanford, SA18 3AU",51.794117,-3.993656,exact,Carmarthenshire,,,,,Wales
,Brynteg Dental Practice,SA31 1JN,"Brynteg House Danybanc, Carmarthen, SA31 1JN",51.855657,-4.303473,exact,Carmarthenshire,,,,,Wales
,Bryntirion Dental Surgery,NP12 2JH,"23 Sir Ivors Road, Pontllanfraith, NP12 2JH",51.653135,-3.188484,exact,Caerphilly,,,,,Wales
,Colchester Dental Surgery,CF23 9AW,"1-3 Lady Margaret Court, Penylan, CF23 9AW",51.49776,-3.15384,exact,Cardiff,,,,,Wales
,Compton House Dental Practice,CF35 6SS,"20 Penprysg Road, Pencoed, CF35 6SS",51.526431,-3.498592,exact,Bridgend,,,,,Wales
,Connahâ€™s Quay Dental Practice Ltd,CH5 4DF,"107a High Street, Flintshire, CH5 4DF",53.216225,-3.04949,exact,Flintshire,,,,,Wales
,MyDentist â€“ Llanrwst,LL26 0BT,"42 Station Road, Conwy, LL26 0BT",53.139604,-3.799639,exact,Conwy,,,,,Wales
,Copper Sun Dental Ltd,CH7 1EJ,"12 Grosvenor Road, Flintshire, CH7 1EJ",53.166697,-3.139141,exact,Flintshire,,,,,Wales
,Court Road Dental Practice,CF31 1BN,"4 Court Road, Bridgend, CF31 1BN",51.506552,-3.575825,exact,Bridgend,,,,,Wales
,Courtland Dental Centre,CF47 0DT,"23 Courtland Terrace, Merthyr Tydfil, CF47 0DT",51.745193,-3.373991,exact,Merthyr Tydfil,,,,,Wales
,Cowbridge Dental Care,CF71 7AG,"30 High Street, Cowbridge, CF71 7AG",51.461722,-3.447771,exact,Vale of Glamorgan,,,,,Wales
,Brackla Dental Practice,CF31 2PQ,"10 Whitethorn Drive Brackla, Bridgend, CF31 2PQ",51.50689,-3.55791,exact,Bridgend,,,,,Wales
,Bridge Centre,NP13 1BQ,"Dental Department, 1st Floor Bridge Centre, Abertillery, NP13 1BQ",51.732496,-3.134772,exact,Blaenau Gwent,,,,,Wales
,Bridge Dental Care,NP11 4EX,"Bridge Dental Care Llanover Buildings, Newbridge, NP11 4EX",51.665433,-3.144244,exact,Caerphilly,,,,,Wales
,Bridges Dental Surgery,NP26 4HX,"6 Newport Road, Caldicot, NP26 4HX",51.591371,-2.750757,exact,Monmouthshire,,,,,Wales
,Brilliant Dental Care,CF72 8AF,"44 Talbot Road, Talbot Green, CF72 8AF",51.536888,-3.384449,exact,Rhondda Cynon Taf,,,,,Wales
,Briton Ferry Dental Centre,SA11 2BJ,"209 Neath Road, Briton Ferry, SA11 2BJ",51.636378,-3.817603,exact,Neath Port Talbot,,,,,Wales
,Broadlands Dental Surgery,CF31 5EJ,"Unit 1, Gentle Way, Bridgend, CF31 5EJ",51.502041,-3.601489,exact,Bridgend,,,,,Wales
,Cathays Dental Surgery,CF24 4HW,"159 Cathays Terrace, Cathays, CF24 4HW",51.496172,-3.182337,exact,Cardiff,,,,,Wales
,Cathedral Dental Clinic,CF11 9JD,"166 Cathedral Road, Pontcanna, CF11 9JD",51.48822,-3.19858,exact,Cardiff,,,,,Wales
,Cathedral Orthodontics,CF11 9LN,"80 Cathedral Road, Pontcanna, CF11 9LN",51.486073,-3.194808,exact,Cardiff,,,,,Wales
,Cefn Coed Dental Practice,CF48 2PL,"148 High Street, Cefn Coed y Cymer, CF48 2PL",51.761197,-3.40224,exact,Merthyr Tydfil,,,,,Wales
,Cemaes Bay Dental Practice,LL67 0NF,"Old Lookout, Cemaes Bay, LL67 0NF",53.412948,-4.448751,exact,Isle of Anglesey,,,,,Wales
,Cenniniago Ltd TA Troedyrhiw Dental Practice,CF48 4JX,"4 Bridge Street, Merthyr Tydfil, CF48 4JX",51.712636,-3.345908,exact,Merthyr Tydfil,,,,,Wales
,Chapel Cottage Dental Practice,LL12 8PS,"5 Chapel Cottages High Street, Wrexham, LL12 8PS",53.086842,-2.975463,exact,Wrexham,,,,,Wales
,Beauwood Dental Care,LL20 8NN,"20 Chapel Street, Llangollen, Denbighshire, LL20 8NN",52.96925,-3.16959,exact,Denbighshire,,,,,Wales
,Chapel Street Dental Practice,SA3 4NH,"15 Chapel Street, Mumbles, SA3 4NH",51.574769,-4.001733,exact,Swansea,,,,,Wales
,Charles Street Dental Surgery,CF10 2GF,"54 Charles Street, Cardiff, CF10 2GF",51.480445,-3.173405,exact,Cardiff,,,,,Wales
,Charsfield Dental Surgery,SA43 1BU,"Priory Street, Cardigan, SA43 1BU",52.083419,-4.658528,exact,Ceredigion,,,,,Wales
,Belmont House Dental Practice,LL28 4RB,"32 Colwyn Avenue, Conwy, LL28 4RB",53.309605,-3.740408,exact,Conwy,,,,,Wales
,Benllech Dental Surgery,LL74 8TG,"Bangor Road, Benllech, Benllech, LL74 8TG",53.320595,-4.225688,exact,Isle of Anglesey,,,,,Wales
,Bethcar Dental Practice,NP23 6BB,"97 Bethcar Street, Ebbw Vale, NP23 6BB",51.776052,-3.207888,exact,Blaenau Gwent,,,,,Wales
,Beynon's Dental Practice,CF31 4AX,"16 Park Street, Bridgend, CF31 4AX",51.506531,-3.582727,exact,Bridgend,,,,,Wales
,Birchgrove Dental Practice,CF14 4AG,"100 Caerphilly Road, Birchgrove, Cardiff, CF14 4AG",51.510862,-3.199448,exact,Cardiff,,,,,Wales
,Bistre Dental Practice,CH7 2JA,"85 Mold Road, Flintshire, CH7 2JA",53.168294,-3.08352,exact,Flintshire,,,,,Wales
,Blackwood Dental Centre,NP12 1AA,"171A  High Street, Blackwood, NP12 1AA",51.665349,-3.194328,exact,Caerphilly,,,,,Wales
,Blaenavon Dental Clinic,NP4 9AW,"Blaenavon Resource Centre Middle Coed Cae Raod, Pontypool, NP4 9AW",51.773346,-3.078342,exact,Torfaen,,,,,Wales
,Blaina Dental Surgery,NP13 3AT,"Blaina Medical Practice, High Street, NP13 3AT",51.766713,-3.161106,exact,Blaenau Gwent,,,,,Wales
,Bod Heulog Dental Care,LL18 3DA,"47 Russell Road, Denbighshire, LL18 3DA",53.321698,-3.48793,exact,Denbighshire,,,,,Wales
,Baglan Dental Practice,SA12 8NU,"80 Fairwood Drive, Port Talbot, SA12 8NU",51.619911,-3.806025,exact,Neath Port Talbot,,,,,Wales
,Bamboo Dental,CF5 5BS,"26a Cowbridge Road West, Ely, CF5 5BS",51.482885,-3.234358,exact,Cardiff,,,,,Wales
,MyDentist â€“ Bangor,LL57 1DN,"14 Cathedral Walk Garth Road, Gwynedd, LL57 1DN",53.227788,-4.125508,exact,Gwynedd,,,,,Wales
,Bangor Dental Surgery,LL74 8QJ,"Bangor Road, Anglesey, LL74 8QJ",53.31919432499999,-4.229393324999999,outcode_fallback,,,,,,Wales
,MyDentist â€“ Bargoed,CF81 8QZ,"Bargoed Dental Centre, Bargoed, CF81 8QZ",51.691663,-3.229686,exact,Caerphilly,,,,,Wales
,Barrie David and Associates Dental Practice,CF33 6DA,"88 Pisgah Street Kenfig Hill, Bridgend, CF33 6DA",51.529898,-3.68816,exact,Bridgend,,,,,Wales
,Bay House Dental Practice,CF11 9HE,"59 Cathedral Road, Cardiff, CF11 9HE",51.484993,-3.194059,exact,Cardiff,,,,,Wales
,Uplands Dental Suite,SA2 0LJ,"28 Sketty Road, Uplands, SA2 0LJ",51.618364,-3.970412,exact,Swansea,,,,,Wales
,Beaufort Park Dental Surgery,NP16 5UH,"Beaufort Park, Chepstow, NP16 5UH",51.621155,-2.66994,exact,Monmouthshire,,,,,Wales
,Beaumaris Dental Practice,LL58 8AP,"6 Castle Street, Beaumaris, LL58 8AP",53.263361,-4.091599,exact,Isle of Anglesey,,,,,Wales
,Brilliant Dental Care by Ruth Morris,CF38 2AD,"1 The Crossroads, Pontypridd, CF38 2AD",51.558726,-3.358669,exact,Rhondda Cynon Taf,,,,,Wales
,Belgrave Dental Centre,SA1 4QF,"91 Walter Road, Swansea, SA1 4QF",51.618838,-3.962559,exact,Swansea,,,,,Wales
,Holmes Dental Care,CF14 1LT,"7 Bishops Road, Cardiff, CF14 1LT",51.511458,-3.220186,exact,Cardiff,,,,,Wales
,Church Road Dental Practice,CF14 2DY,"33 Church Road, Whitchurch, CF14 2DY",51.51002,-3.226085,exact,Cardiff,,,,,Wales
,Church Street Dental Practice,CF47 8DE,"3 Church Street, Merthyr Tydfil, CF47 8DE",51.745146,-3.378074,exact,Merthyr Tydfil,,,,,Wales
,Churchill Way Dental Practice,CF10 2DW,"4a Churchill Way, City Centre, CF10 2DW",51.482143,-3.173535,exact,Cardiff,,,,,Wales
,Cilgerran House Dental Care,SA4 4FE,"15 Pontardulais Road, Gorseinon, SA4 4FE",51.670075,-4.041757,exact,Swansea,,,,,Wales
,City Dental Practice,LL57 1NP,"21 High Street, Bangor, LL57 1NP",53.222797,-4.132616,exact,Gwynedd,,,,,Wales
,Clifton Dental Care Ltd,CF24 1DG,"112 Newport Road, Roath, CF24 1DG",51.487602,-3.15897,exact,Cardiff,,,,,Wales
,Clifton Dental Practice,SY16 1BG,"Clifton Dental Practice 67 Clifton Terrace, Newtown, SY16 1BG",52.513946,-3.312932,exact,Powys,,,,,Wales
,Clive Street Dental Practice,CF83 1GE,"4 Clive Street, Caerphilly, CF83 1GE",51.572267,-3.220444,exact,Caerphilly,,,,,Wales
,Canton Dental Care,CF5 1JE,"339 Cowbridge Road East, Canton, Cardiff, CF5 1JE",51.48189,-3.206392,exact,Cardiff,,,,,Wales
,Cardiff Road Dental Practice (Cox and Hitchcock Dental Group),NP20 2EN,"67 Cardiff Road, Newport, NP20 2EN",51.578739,-2.997097,exact,Newport,,,,,Wales
,Castle Court Dental Care,CF64 4NS,"1 Castle Court, Dinas Powys, CF64 4NS",51.434424,-3.20963,exact,Vale of Glamorgan,,,,,Wales
,Castle Square Clinic Ltd,LL55 2NN,"35 Castle Square, Caernarfon, LL55 2NN",53.139184,-4.274921,exact,Gwynedd,,,,,Wales
,Castle Street Dental Practice,NP22 3DG,"24 Castle Street, Tredegar, NP22 3DG",51.772424,-3.246287,exact,Blaenau Gwent,,,,,Wales
,Bulkeley Dental Practice,LL57 1NS,"102 High Street, Bangor, LL57 1NS",53.224158,-4.129403,exact,Gwynedd,,,,,Wales
,Bupa Dental Care â€“ Newport,NP19 8GH,"197 Chepstow Road, NewportÂ , NP19 8GH",51.589594,-2.97545,exact,Newport,,,,,Wales
,Bupa Dental Care â€“ Kensington Court Clinic,NP19 8GH,"197 Chepstow Road, Newport, NP19 8GH",51.589594,-2.97545,exact,Newport,,,,,Wales
